Pseudo-barcode,Rep1_iPSCNeuron_ZC130_R,Rep2_iPSCNeuron_ZC131_R,Rep3_iPSCNeuron_ZC132_R,Rep4_iPSCNeuron_ZC133_R,enhancer_id
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_1,5301,15348,5159,8262,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_10,91702,30263,27978,11843,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_2,31349,3064,3566,4964,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_3,10876,23688,3566,8834,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_4,21013,12679,7660,9484,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_5,20340,16239,9255,8997,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_6,21340,16194,14988,4877,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_7,18175,23510,8168,19083,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_8,22450,34397,10444,19571,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_9,39910,11835,25591,17454,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000035558_panTro4_chr12_Group_1,14606,7084,2042,2654,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_10,117245,11320,52808,5723,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_2,16388,16,7081,4,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_3,8195,7390,1826,8316,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_4,19468,5721,936,6475,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_5,16771,7710,6820,7199,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_6,15729,20152,7207,2901,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_7,26728,12413,3314,10335,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_8,1551,36559,1731,24451,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_9,43697,11585,11,11863,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000065474_rheMac8_chr20_Group_1,7030,0,966,5104,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_10,33491,46657,4190,9854,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_2,1387,9961,1825,2188,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_3,8333,5475,1987,1607,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_4,4659,7131,4431,5394,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_5,12152,6872,4267,1731,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_6,8416,11829,4041,4574,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_7,6139,10794,14361,3976,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_8,6661,21136,5311,8727,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_9,21409,10094,9366,8246,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000076312_mm10_chr18_Group_1,1,5,1971,4,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_10,28168,37238,25388,6574,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_2,1681,2061,3771,1929,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_3,95,10842,0,3753,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_4,7136,3927,5102,9849,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_5,13754,7959,6097,5319,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_6,15941,15685,1096,4520,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_7,17402,18138,914,4377,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_8,18838,9970,11353,3924,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000076312_mm10_chr18_Group_9,15665,2021,16631,12665,ARP.Control.CS6000076312_mm10_chr18
ARP.Control.CS6000151238_taeGut2_chr19_Group_1,1524,14,6083,2445,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_10,16491,57694,36176,85142,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_2,5510,6706,2000,2459,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_3,9066,9692,3204,4790,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_4,8263,13521,2787,10438,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_5,12502,16488,5976,7773,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_6,24958,7969,6840,8517,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_7,12476,14603,12485,14846,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_8,14065,34173,10948,11718,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.CS6000151238_taeGut2_chr19_Group_9,31320,37463,11898,6801,ARP.Control.CS6000151238_taeGut2_chr19
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_1,0,0,0,2,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_10,22652,29472,10777,3262,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_2,0,0,0,4,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_3,0,0,0,8,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_4,2,0,974,1917,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886_Group_5,1419,1,1095,1420,ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886
