enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,36650,31889,41680,40625,131612,18412,36367,32433,57907,42098,8725,11226,24243,18612,53569,13226,18318,13874,38654,29297
ARP.Control.CS6000035558_panTro4_chr12,30994,27663,32500,28279,160942,7100,13111,27862,48972,22905,9123,2762,14027,5045,52819,2658,14791,10100,34786,17586
ARP.Control.CS6000065474_rheMac8_chr20,8417,12992,20568,12800,54900,9961,12606,18701,31930,56751,2791,6418,8308,19672,13556,7292,7001,6305,12703,18100
ARP.Control.CS6000076312_mm10_chr18,1682,7231,29695,36240,43833,2066,14769,23644,28108,39259,5742,5102,7193,12267,42019,1933,13602,9839,8301,19239
ARP.Control.CS6000151238_taeGut2_chr19,7034,17329,37460,26541,47811,6720,23213,24457,48776,95157,8083,5991,12816,23433,48074,4904,15228,16290,26564,91943
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,0,2,2447,6291,29923,0,0,5,10045,31474,0,974,4261,3605,13829,6,1925,3856,1138,13411
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,3087,10045,13604,33585,90029,6,3211,6094,19482,40806,3085,3194,14785,4759,36047,2459,6072,4280,5453,27487
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,17412,34012,59251,51041,91273,10151,18550,44374,42550,66171,9103,17911,10344,30786,26848,7284,27049,8841,23469,87656
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,3716,7724,20185,26692,59455,5,9734,19040,33548,23556,5437,6856,5776,2254,6416,1674,5986,5813,10569,17257
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,2,6698,10652,22837,22293,4,9,11377,24746,28390,1041,3459,2018,2031,45318,2393,4654,9346,5260,12146
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,9298,34614,51267,56986,176939,21227,29587,28862,43448,83715,12146,9755,25766,22499,45521,12531,18411,12204,27597,42324
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150,1749,9801,30834,43058,107560,12546,19654,24875,15219,55848,3015,4378,9,5899,19344,3362,9200,4182,16300,7742
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480,3491,14390,16136,31198,41419,9978,6807,8015,10605,69789,8235,5612,5933,14126,10133,1824,10831,20004,14692,45788
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655,37188,34649,60770,102699,97706,23992,39569,50729,55358,115162,26555,31955,28554,22149,36098,24474,33787,26587,32022,68608
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940,23837,34104,82306,81711,197742,39377,53022,48949,75872,109510,20228,19918,36911,41412,40816,20796,34515,22075,27343,65956
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915,36437,41780,42686,67150,165726,21922,46694,48378,74976,97282,10827,15779,24814,22385,37209,20513,13607,33066,28190,47435
ARP.Control.Nguyen_neg_T03000001061,5894,7112,24821,22460,72090,4,3515,2331,19077,28344,2103,9474,6359,11701,12095,1782,6671,2654,4103,10519
ARP.Control.Nguyen_neg_T03000001872,1960,8206,8644,28792,139856,3,6804,13064,11544,54800,1223,1428,463,8136,18620,2715,4064,5542,866,13229
ARP.Control.Nguyen_neg_T03000002350,3528,10773,9556,22741,46463,1902,5275,5747,17206,41522,1,5524,9795,11340,10859,2031,2549,5781,4372,23763
ARP.Control.Nguyen_neg_T03000006478,13638,42964,36092,40890,65388,15788,21087,36729,30861,82559,20332,15754,17868,32866,39699,14518,7708,26570,27302,40490
ARP.Control.Nguyen_neg_T03000008079,0,5519,7409,9450,3965,90,11,5,3533,54966,0,3290,2594,3009,7803,1081,1572,6287,9199,4674
ARP.Control.Nguyen_neg_T03000009050,6425,24749,39910,38336,64136,11299,13002,24258,38724,44509,5879,11760,10180,9821,108625,21963,14486,13357,13610,11656
ARP.Control.Nguyen_neg_T03000009840,0,0,0,2,12139,0,0,0,0,10,0,0,0,933,3212,0,0,0,904,4046
ARP.Control.Nguyen_neg_T03000009843,1534,1148,8781,11333,46239,1,7401,12540,15378,81532,1,3162,2307,6597,5726,1378,3056,4280,16382,6550
ARP.Control.Nguyen_neg_T03000010893,1768,18756,22211,54683,53328,3181,12263,39257,35256,79333,4108,10182,8978,15156,87590,6,3694,10321,17197,30580
ARP.Control.hg38_chr1:168848149-168848269,5483,18216,27964,44206,56834,3799,5508,19957,10986,125454,8102,11913,11745,31196,7602,16043,17468,10487,14602,23343
ARP.Control.mm10_chr5:52618636-52618756,0,1744,15295,16084,65367,0,4358,3871,19207,6893,2,2421,5143,5823,16942,12,1946,6444,10908,12555
ARP.Control.mm10shuf5_chr12:85436241-85436361_shuf_245,6486,14258,21018,31602,74948,13400,16258,23651,14389,92685,1418,1863,6107,17177,24318,5893,11885,11935,20785,24783
ARP.Control.rheMac8_chr2:197426041-197426161,10,1861,16644,18940,38119,11,10490,14433,30221,35213,6431,7661,11645,11648,39225,30,5277,6,7105,16847
ARP.Control.rs115898899,5002,17607,23310,37277,72150,12304,9415,25144,42834,38906,2641,11948,16131,16538,41541,6738,11437,18117,11655,26753
ARP.Control.taeGut2_chr13:8529831-8529951,0,0,1,5164,9774,0,0,1,3,5442,0,0,990,1049,984,0,0,4,2909,6595
