enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_11,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_12,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_13,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_14,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_15,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_16,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_17,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_18,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_19,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_20,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_21,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_22,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_23,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_24,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_25,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_26,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_27,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_28,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_29,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_30,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_31,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_32,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_11,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_12,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_13,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_14,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_15,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_16,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_17,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_18,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_19,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_20,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_21,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_22,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_23,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_24,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_25,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_26,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_27,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_28,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_29,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_30,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_31,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_32,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_11,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_12,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_13,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_14,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_15,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_16,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_17,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_18,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_19,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_20,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_21,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_22,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_23,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_24,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_25,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_26,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_27,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_28,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_29,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_30,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_31,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_32,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_11,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_12,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_13,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_14,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_15,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_16,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_17,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_18,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_19,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_20,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_21,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_22,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_23,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_24,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_25,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_26,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_27,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_28,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_29,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_30,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_31,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_32
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,6826,8612,8767,8190,8809,7792,11202,9309,8243,10177,9861,10170,8308,6442,8586,4578,5829,5763,9394,8537,8975,3372,8157,7914,6892,10024,8537,9753,8293,7802,9158,9776,7363,10100,10625,8518,10046,9021,12177,10083,9356,11369,10607,10767,9287,6648,9552,5047,7095,5782,9350,8741,12348,3631,8606,8864,7565,10529,9014,10455,8497,8057,10934,10439,8136,10695,10914,9310,10068,8959,14094,10368,10523,12096,11785,11946,10750,7571,9859,5385,7166,5870,10747,9237,10394,3944,9142,9839,7642,11504,9485,11756,9400,8542,11644,11570,7414,9430,9959,8620,9286,8431,12406,9748,9389,10393,10094,10372,8738,6683,8755,4941,6797,5805,10547,8502,9577,3534,8387,8951,7248,10395,8862,10875,8180,7670,10725,9998
ARP.Control.CS6000035558_panTro4_chr12,3901,4232,2812,2171,5967,4283,3643,4689,2871,3385,3340,3348,3930,3949,3782,4086,4038,4147,2514,3484,4101,3029,3416,3714,3038,4109,3269,4243,2685,4622,2492,5775,4275,4865,3267,2409,6502,4869,4148,4911,3291,4284,3929,3684,4825,4532,4684,4641,4817,4665,3043,3805,4179,3229,3940,4293,3577,4283,3694,4611,3167,5158,2610,4849,4029,4333,3099,2514,6239,4343,3888,4736,3196,3710,3645,3665,4266,4156,4212,4321,4418,4377,2763,3511,4187,3366,3723,3858,3288,3890,3490,4461,2867,4922,2469,4855,3679,3949,2821,2276,5529,3861,3500,4231,2631,3294,3343,3215,3838,3824,3889,3999,4148,3896,2433,3299,3658,3093,3366,3353,2983,3647,3222,4061,2637,4387,2339,4258
ARP.Control.CS6000065474_rheMac8_chr20,3867,5592,3898,2999,3504,4065,3809,4363,3514,2696,3430,3110,4109,3442,3311,3144,3048,2637,3603,4255,2580,1945,3753,4863,2357,4193,3385,3724,3016,3718,4879,3035,4340,6356,4295,3399,4062,4814,4267,5413,4236,2960,3974,3767,4845,3863,3926,3551,3704,3082,4064,4924,2823,2405,4026,5471,2685,4671,3925,4279,3418,4841,5918,3536,3929,6224,4104,3320,3719,4374,4290,4843,3874,2761,3729,3520,4495,3584,3698,3336,3317,2789,3969,4594,2705,2108,3703,5071,2478,4405,3667,4085,3378,4216,5845,3168,3827,5352,3847,3372,3503,4185,3780,4397,3448,2574,3448,3186,3994,3384,3301,3084,2955,2581,3344,4317,2467,2029,3282,4440,2175,4607,3367,3716,3204,3652,4942,3024
ARP.Control.CS6000076312_mm10_chr18,3936,3721,4215,3996,3662,4296,3840,4061,4050,4517,4212,4196,3389,3651,3860,2067,3139,4360,4076,4216,3960,4737,3808,4374,4272,3437,4376,3484,4651,4634,3676,3856,4149,7768,4823,4277,3782,4527,4424,4449,4800,4999,4993,4621,3706,4157,4272,2466,4050,4199,4368,4839,4262,5201,3943,4435,5203,4487,4758,3638,4756,4802,3689,4960,4381,4116,4719,4447,3873,4828,4334,4545,5556,4997,4885,4868,3713,4159,4631,2123,3786,4703,4503,4673,4769,5205,4162,4827,5398,4323,4901,3985,4990,4944,4194,4759,3860,3835,4301,4096,3428,4181,3865,3922,4400,4312,4392,4351,3344,3760,4014,1870,3524,4144,4053,4059,4254,4719,3571,4165,4692,3759,4510,3354,4558,5400,3490,4088
ARP.Control.CS6000151238_taeGut2_chr19,4153,4146,4445,6094,5521,4105,5379,6704,4375,5460,5751,5342,4452,4844,6557,5597,3450,5785,4799,7873,6456,3143,3744,5481,5114,4995,6069,4993,4485,4420,5211,4240,4565,4341,5284,6206,6042,4288,5519,6837,4448,5731,6019,5263,4736,4553,6487,5867,5900,6050,5053,8106,6832,3349,4027,6303,5157,5041,6549,5258,5042,4686,5459,4696,5028,4698,5059,6546,5874,4749,5612,7645,4601,5829,5950,6103,4699,5022,6974,6075,3945,6077,5370,8500,6979,3561,4257,6545,5608,5582,6603,5733,5096,4823,5579,4810,4345,4138,4374,5826,5108,4251,5346,6683,4284,5028,5584,5335,4262,4429,5901,5311,3458,5805,4768,7267,6426,3261,3750,5516,4953,4718,5746,5193,4494,4158,5100,4312
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,1056,2810,883,1647,1762,911,2220,1382,3910,2697,1619,3599,2920,2170,3533,1241,1352,1933,1350,2029,3186,2633,1494,3472,3490,1372,3901,2384,3839,2678,1795,1645,1212,3020,1083,1790,2070,929,2336,1544,4210,3186,1653,4384,3511,2021,3323,1187,1729,2078,1599,2265,3509,3061,1864,3824,4209,1431,3988,2950,4727,2145,1874,1862,1360,3195,1069,1932,2194,1107,2380,1589,4373,2912,1676,4170,3502,2228,3372,1492,1488,2272,1779,2241,3251,3207,1729,4096,3908,1497,4200,2640,4534,2238,1967,2016,1190,2818,906,1638,1891,958,2036,1528,4101,2766,1540,4038,3051,2185,2970,1243,1493,1937,1492,1972,3737,2800,1596,3804,3500,1298,3669,2448,4069,1940,1816,1717
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,3868,3440,4164,4055,6111,4569,2760,4655,4625,2661,3921,4202,3419,5068,5518,5390,4949,3606,4120,3516,3649,3691,1723,3220,2807,4824,3088,2022,5495,4142,3072,2875,3972,3662,4538,4340,6618,4714,3052,5118,4766,3015,4197,4677,3516,5453,6006,5601,5185,3848,4825,3386,5758,4287,3030,3485,3183,5421,3890,2301,5804,4581,3316,3082,3356,4058,5015,7589,7638,5416,3400,5823,8890,3366,5073,5202,4005,6239,6557,6242,5864,4615,5120,4229,4501,4754,2223,3879,3691,6308,4222,2659,7050,4956,3782,3417,3279,3804,4718,4293,6559,4713,3112,4991,4893,2805,4397,4617,3650,5546,5875,5596,5302,3713,4771,4100,4314,3902,2219,3352,3300,5297,3615,2242,6038,4262,3309,3027
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,6393,5754,9456,4739,6082,4687,5884,4230,5836,5260,5774,3775,4538,7672,4494,4464,7381,4148,5229,4187,8598,4501,6088,3485,4018,3583,5662,1321,7272,4547,9903,4593,6405,5590,10021,5160,6046,5386,5703,4633,5903,5232,6154,4230,4764,8030,4822,4548,7584,4585,5227,4058,7620,5070,6159,3699,4294,3771,6228,1217,7608,4998,4600,4688,6821,6479,11694,5918,6924,6164,6996,4987,7126,6166,6677,4452,5163,9783,5645,5779,8794,5020,5854,4997,8899,5014,7197,4263,4897,4308,6674,1576,8657,5440,4905,5053,6253,5766,10550,5485,6620,5468,6151,4676,6474,5444,6291,4095,4823,8649,5119,5102,8038,4691,5173,4021,8017,4784,6418,4030,4281,3673,6043,1340,7907,4974,4945,4814
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,1688,2719,2593,1490,2254,3936,5180,2408,2119,2417,1328,1775,1670,2351,1426,1672,2463,2248,1836,1739,1742,1488,2020,2401,660,1667,1546,1524,1880,1767,1838,1317,1960,2903,2638,1868,2459,3998,5517,2660,2120,2592,1558,1895,1801,2395,1594,1885,2388,2416,1960,1835,2005,1378,1908,2870,974,1932,1653,1589,1918,2069,1938,1543,2103,3180,3070,2050,3084,4464,5996,2804,2805,3297,1740,2432,2179,2749,1862,2077,2972,2656,2330,2477,1829,1737,2313,3230,770,2000,1885,1897,2084,2262,2924,1735,1801,2948,2820,1868,2592,4040,5228,2514,2194,2695,1476,2028,1794,2460,1580,1984,2485,2333,1964,1959,1723,1425,2275,2847,720,1772,1510,1651,1925,2184,2096,1512
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,2092,465,1710,904,1037,2325,1629,902,934,1589,1124,708,970,608,1293,845,369,942,1388,945,1322,455,456,1439,1634,2190,1491,583,1214,3155,726,476,2234,521,1749,1012,972,2777,1778,875,1229,1710,1168,900,968,758,1352,853,529,1096,1550,1033,1564,532,381,1695,1667,2323,1516,655,1062,3016,783,554,2312,611,2011,1123,1132,2874,2309,1037,1279,1824,1245,881,1210,785,1533,967,519,1233,1676,1025,1677,576,477,1878,1735,2505,1864,742,1106,3503,804,637,2174,467,1591,1080,1192,2517,1995,953,991,1687,1138,677,1106,638,1324,745,451,1052,1512,910,1607,548,548,1554,1675,2985,1753,619,991,2904,730,495
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,6014,11664,9105,8393,7939,8236,10014,9702,9689,8587,9947,8423,10307,9163,8877,8743,9091,6279,9398,9835,11902,7789,8614,9751,12488,8749,10271,12654,9505,8778,8600,8607,6806,12461,10653,9055,8532,8763,10684,10897,10392,9958,10842,8352,11681,10313,9572,9693,9574,6937,10379,10513,12337,7725,9603,10106,13323,9510,10851,12935,9855,9964,9194,9626,7518,14246,11054,10481,10030,9722,12308,12702,11323,10465,12571,9311,12524,11626,10420,10424,10900,7451,12417,12424,14439,8933,10484,11757,15405,11397,12118,14871,11508,11413,10217,10797,7100,12705,10296,9179,8120,8850,10382,10805,10547,9280,10568,7967,11162,10294,9287,9164,9796,6845,10651,10959,12523,8101,9611,10240,13670,9641,11067,13028,9915,9913,9308,9524
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150,2577,3489,3528,2517,2611,4511,4604,2916,4063,3052,3852,3966,4031,4564,2704,3562,2079,5205,4448,2328,6289,2853,2271,4188,1659,5035,4350,2484,4352,5043,5003,5079,2736,3919,4047,2934,2631,4873,4600,3155,4645,3274,4184,4731,4240,5098,2895,3953,2050,5333,4915,2613,5413,3348,2404,4820,1861,10701,4893,2948,4828,5000,5691,4989,2828,4267,4097,3680,2768,5255,5089,3278,4543,4081,4288,5137,4497,5474,3112,4021,2249,6180,5452,2910,5549,3723,2707,5095,2023,6093,5387,3121,5086,5738,5696,5602,2511,3799,3861,2956,2500,4827,4714,3096,4150,3024,3954,4505,4136,5191,2853,3697,2078,5452,4858,2654,4968,3199,2447,4771,1658,5489,5746,2711,4908,5020,5189,4828
