enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_11,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_12,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_13,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_14,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_15,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_16,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_17,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_18,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_19,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_20,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_21,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_22,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_23,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_24,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_25,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_26,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_27,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_28,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_29,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_30,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_31,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_32,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_11,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_12,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_13,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_14,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_15,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_16,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_17,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_18,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_19,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_20,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_21,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_22,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_23,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_24,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_25,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_26,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_27,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_28,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_29,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_30,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_31,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_32,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_11,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_12,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_13,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_14,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_15,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_16,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_17,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_18,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_19,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_20,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_21,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_22,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_23,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_24,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_25,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_26,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_27,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_28,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_29,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_30,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_31,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_32,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_11,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_12,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_13,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_14,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_15,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_16,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_17,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_18,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_19,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_20,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_21,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_22,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_23,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_24,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_25,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_26,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_27,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_28,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_29,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_30,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_31,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_32
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,8991,8238,2987,5291,18531,5124,4839,11647,35787,3725,4932,23372,15621,5,2533,9952,9750,6633,18802,10765,16922,0,9035,1768,5383,8779,14746,5,5,4451,5005,8832,5268,9711,3320,2336,4669,10973,13937,1011,5559,6937,11836,5481,11593,6942,3493,1827,226,3790,7,3363,7630,0,4091,12235,4516,15065,3376,6070,12694,1903,1963,5395,1,2164,3848,3168,1838,2023,4795,0,1871,1924,3,3059,15024,870,13158,2683,883,19561,2,3253,8024,0,3811,2,1640,3002,4192,1121,1828,3979,6001,2647,2512,1883,6962,2804,6117,7,6938,2072,1833,2894,7411,2033,2810,1782,25,2,2890,1655,6,1410,5167,1855,10,2018,3922,3849,9682,1821,4846,7580,9789,8784
ARP.Control.CS6000035558_panTro4_chr12,4088,19850,5626,3899,28211,5173,2,5,8,3839,3443,3408,6923,3343,75582,1536,7,6793,3568,7035,10766,10044,3763,6787,8036,4747,7499,9340,5646,13081,11193,7137,3618,1555,3,3,3606,9860,4993,3546,13739,7,3842,44,6,4090,3685,8640,14180,7135,2087,1,4654,3985,3157,1652,3850,2,5346,2,4068,5376,3217,1,1752,4,1842,1085,2930,1031,2,1823,1,4147,3,38753,1092,5066,1428,2,1728,1002,955,3,4,9697,5174,2,0,0,2,2,931,3,3312,0,3066,1025,0,781,1929,6,1867,3330,6562,2,1275,2,2,2,1855,11680,6209,984,3,4682,7095,1937,1911,1791,6636,3711,3698,4131,2,3743,1,3
ARP.Control.CS6000065474_rheMac8_chr20,4965,12,3530,3018,1310,11693,5633,2431,2,2733,1516,1925,1267,10251,6112,1384,14912,6193,7690,2031,1591,1,1,1821,3122,1,3224,5313,15,2,3662,2316,2301,3953,9311,1860,7761,16435,1,3151,3615,3859,3688,3,8140,6,1770,3932,3758,7787,1,3720,0,4123,3269,4064,0,0,13972,0,5071,1906,12492,0,7669,5749,1770,1046,1864,3065,1955,2493,941,871,2085,3560,1,1695,1964,2,2,2,0,1774,0,0,0,1677,2,963,1121,0,6648,1823,2,1,1294,1874,3,2,1754,4,1870,5,827,1,2704,1956,0,2771,1635,2,6864,4181,1,1725,1478,951,3437,6970,2,2777,1,778,467,1235,2985,847
ARP.Control.CS6000076312_mm10_chr18,10701,1836,3902,6345,6032,6,2,5852,3636,4908,3279,6471,7212,8317,6855,0,1,7778,0,10224,5,4050,3608,1674,1,31,3522,2,4057,0,8282,92,30158,5947,2004,3625,5781,4,7220,6722,2004,14,9416,9,1868,3164,3,0,1,5097,0,5163,2,6797,1962,2,0,49,1961,2057,3182,4,8,3622,13,3611,9277,1,3,4030,0,1,0,7353,2,4955,5352,3331,1,0,1971,911,0,2,2757,3067,1071,1014,0,20021,1,0,1092,0,2486,0,0,4,3,3812,846,3268,4,2,4265,3744,4,3343,4640,2,8918,2,0,561,0,1003,7,579,2638,1007,3746,931,3943,915,3672,2,1050,3
ARP.Control.CS6000151238_taeGut2_chr19,6344,3449,10222,10453,8,13814,2661,3409,1,69,4,8532,8,2,3695,3756,0,5311,6,5506,3543,10,1922,6537,6204,3603,7,17496,8249,1513,6406,3435,19124,5572,3779,1896,4,9484,7235,4964,0,15209,3541,516,8640,7,4119,5568,3162,4071,4877,3,17068,27968,1,23348,3674,11983,3239,11,4,3,5552,3701,23836,0,1661,7100,3070,6436,1,3275,0,3844,1998,2297,1997,2084,1897,1783,0,7427,787,2,4,3,1307,1939,2882,3786,6615,5459,3,929,2,5973,3,3,973,2745,4,956,2834,6112,987,7996,1730,4422,1119,1453,3,6588,720,2146,6353,9,977,1027,4784,4,3122,26910,58225,4818,2966,1,3116,1823
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,2,0,7031,7264,5,0,0,0,9264,4,0,3347,3,0,0,0,1,3,0,1,0,0,0,3010,1025,1419,3,0,2848,0,0,3433,0,0,1,4,3282,0,0,0,1946,4,0,27503,5,0,0,0,3481,1994,0,3272,0,1,0,22,1,1,2,0,2,0,0,3,974,1093,1995,1245,0,0,0,0,1,1807,0,3,1737,0,0,0,1,0,0,0,0,0,0,8778,1324,2,1842,0,0,0,0,1867,0,1,1,2,2,1,3,1,3255,3742,0,3,1124,3,1419,1,1,6405,0,3,2,1925,2,3,506,0,5,956,8,1,961,0
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,3662,7474,4167,3922,18876,3617,0,3579,3955,0,3038,44,2059,4,18260,12984,3798,2415,7408,1,0,0,1633,0,5,4115,34105,5,1,0,7392,3831,2178,4181,43,8,6353,4166,0,4,1984,3203,2,4,6,9693,10,9834,1,3,3425,3,0,1,14862,0,0,3200,11,5,1913,0,4506,0,1208,1,33568,2029,2468,691,0,1184,4,0,0,2128,3971,1,2,3,0,0,2,2063,0,1131,2,0,957,1836,3,4632,2941,0,1045,0,2,3,1094,1468,6464,6,2445,3596,4,3,2,1,1784,4572,1092,12157,3,1716,769,1301,4,3046,3,4,0,1078,2105,1,1021,3,1,3
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,11627,3729,12901,5549,1920,4760,7222,1836,11756,34990,6782,5249,0,9110,7411,3603,8258,8320,3765,14385,4911,5147,9552,8005,3184,11808,4471,3104,5883,15387,3900,14464,7,1705,9489,11469,1,13220,22282,4160,3574,5514,7705,13593,0,1054,11150,6,7254,5810,3769,12629,1143,1631,3989,1993,2215,7241,5981,0,7498,5502,6268,3944,4159,8053,1856,4775,0,3541,6,1799,7028,1141,5147,2023,0,4000,2,2051,2637,987,4308,9564,0,6757,6830,5,945,3,3940,0,5134,2,2109,6190,4195,1718,10613,3,2,6,17608,2755,4369,7086,7862,2009,979,18666,727,1,2941,1974,1731,1674,8526,2889,3599,7000,1816,964,10801,0,24147,8,4942,2688
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,9538,6756,9055,1,3,13352,5873,2,0,8551,5,3897,1692,1877,2022,3813,6575,10847,2,5786,2353,0,4534,3747,9,0,0,10507,1831,5141,2,1,4869,1018,1871,1,0,5,5737,5481,2143,8907,5660,2100,1,5809,1,4,1,4,9085,4883,7511,0,3243,2142,6,0,0,2094,6328,4,6973,2,1,980,3582,861,1696,1,2,923,2,3,969,2,1382,951,0,0,1874,3,4,2243,2,0,0,564,4233,0,0,4,0,2964,299,3194,1,2,2,634,4002,1831,1638,1,1979,0,0,2,0,8043,2,2,5516,2863,2377,1,947,0,1061,2835,0,1036,2,1864,2743,1912,3,0
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,20,0,1,13,0,5549,1,0,1919,10410,0,3352,0,0,8,3,4,8641,3578,3338,0,5,0,6951,3,2008,1776,3537,3519,6174,1670,2,1780,0,7236,6378,0,2,8801,0,0,3,0,2,0,0,9917,1,5915,5,3575,0,0,6,0,20,5458,3620,5081,2,2,6718,0,4,16814,0,1,6846,0,1,1,0,0,0,0,0,0,0,3721,1738,1,4,5857,0,0,1721,0,10483,0,2023,2,2017,0,1596,0,1041,440,0,997,2106,986,5469,0,2699,2412,0,1405,0,1954,2,3,1,1911,0,2,0,0,0,0,1867,302,1761,2502,971,827,2259,2923,0
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,2,5874,252,3,7963,7754,14181,4505,7317,34315,6991,40828,2004,13803,11821,6897,8741,4831,11223,3529,2120,15318,16205,3371,16009,6520,5044,56717,9,9643,3499,1815,1,15615,10065,1,1668,4431,9277,6657,4171,11,17052,8725,7758,7410,6391,3535,1897,9749,2859,3398,9415,4014,20675,8355,21592,9017,4315,45,4,1978,0,6758,895,1127,1,1974,3976,8736,1788,1,4,1192,6230,4277,923,1,1,2931,3872,4047,6179,3075,2768,6050,6,1997,18949,7964,3928,13740,3752,748,1526,3029,818,6203,964,2976,3942,6,7,942,1107,16467,2729,2538,19,3873,1959,5256,4973,3,7,1094,8162,2921,4021,2262,3792,1155,11479,6574,4768,5783,1892,4375
