ID,enhancer_id,Group,Pseudo-barcode
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1086801,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,10,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_10
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.965001,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,10,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_10
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.527112,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,10,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_10
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.950000,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,10,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_10
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.7319,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,9,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_9
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1244929,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,9,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_9
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1474293,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,9,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_9
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.711028,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,8,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_8
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1082451,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,8,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_8
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1376658,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,8,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_8
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1400323,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,7,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_7
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1499710,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,7,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_7
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1087172,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,7,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_7
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1411499,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,6,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_6
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1620060,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,6,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_6
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.769329,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,6,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_6
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1087779,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,5,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_5
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.188890,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,5,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_5
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.839745,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,5,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_5
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.317170,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,4,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_4
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1082409,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,4,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_4
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1352596,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,4,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_4
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.521014,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,3,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_3
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1079187,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,3,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_3
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.120515,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,3,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_3
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.219212,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,2,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_2
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.30817,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,2,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_2
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1564665,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,2,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_2
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.713603,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,1,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.250478,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,1,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.779854,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,1,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1#free16-1.1277812,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,1,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_1
ARP.Control.CS6000035558_panTro4_chr12#free16-1.361161,ARP.Control.CS6000035558_panTro4_chr12,10,ARP.Control.CS6000035558_panTro4_chr12_Group_10
ARP.Control.CS6000035558_panTro4_chr12#free16-1.599078,ARP.Control.CS6000035558_panTro4_chr12,10,ARP.Control.CS6000035558_panTro4_chr12_Group_10
ARP.Control.CS6000035558_panTro4_chr12#free16-1.436971,ARP.Control.CS6000035558_panTro4_chr12,10,ARP.Control.CS6000035558_panTro4_chr12_Group_10
ARP.Control.CS6000035558_panTro4_chr12#free16-1.126772,ARP.Control.CS6000035558_panTro4_chr12,10,ARP.Control.CS6000035558_panTro4_chr12_Group_10
ARP.Control.CS6000035558_panTro4_chr12#free16-1.729259,ARP.Control.CS6000035558_panTro4_chr12,9,ARP.Control.CS6000035558_panTro4_chr12_Group_9
ARP.Control.CS6000035558_panTro4_chr12#free16-1.715930,ARP.Control.CS6000035558_panTro4_chr12,9,ARP.Control.CS6000035558_panTro4_chr12_Group_9
ARP.Control.CS6000035558_panTro4_chr12#free16-1.821426,ARP.Control.CS6000035558_panTro4_chr12,9,ARP.Control.CS6000035558_panTro4_chr12_Group_9
ARP.Control.CS6000035558_panTro4_chr12#free16-1.112915,ARP.Control.CS6000035558_panTro4_chr12,8,ARP.Control.CS6000035558_panTro4_chr12_Group_8
ARP.Control.CS6000035558_panTro4_chr12#free16-1.66408,ARP.Control.CS6000035558_panTro4_chr12,8,ARP.Control.CS6000035558_panTro4_chr12_Group_8
ARP.Control.CS6000035558_panTro4_chr12#free16-1.750353,ARP.Control.CS6000035558_panTro4_chr12,8,ARP.Control.CS6000035558_panTro4_chr12_Group_8
ARP.Control.CS6000035558_panTro4_chr12#free16-1.678303,ARP.Control.CS6000035558_panTro4_chr12,7,ARP.Control.CS6000035558_panTro4_chr12_Group_7
ARP.Control.CS6000035558_panTro4_chr12#free16-1.1371782,ARP.Control.CS6000035558_panTro4_chr12,7,ARP.Control.CS6000035558_panTro4_chr12_Group_7
ARP.Control.CS6000035558_panTro4_chr12#free16-1.1401300,ARP.Control.CS6000035558_panTro4_chr12,7,ARP.Control.CS6000035558_panTro4_chr12_Group_7
ARP.Control.CS6000035558_panTro4_chr12#free16-1.651726,ARP.Control.CS6000035558_panTro4_chr12,6,ARP.Control.CS6000035558_panTro4_chr12_Group_6
ARP.Control.CS6000035558_panTro4_chr12#free16-1.245283,ARP.Control.CS6000035558_panTro4_chr12,6,ARP.Control.CS6000035558_panTro4_chr12_Group_6
ARP.Control.CS6000035558_panTro4_chr12#free16-1.413824,ARP.Control.CS6000035558_panTro4_chr12,6,ARP.Control.CS6000035558_panTro4_chr12_Group_6
ARP.Control.CS6000035558_panTro4_chr12#free16-1.1575551,ARP.Control.CS6000035558_panTro4_chr12,5,ARP.Control.CS6000035558_panTro4_chr12_Group_5
ARP.Control.CS6000035558_panTro4_chr12#free16-1.225978,ARP.Control.CS6000035558_panTro4_chr12,5,ARP.Control.CS6000035558_panTro4_chr12_Group_5
ARP.Control.CS6000035558_panTro4_chr12#free16-1.922005,ARP.Control.CS6000035558_panTro4_chr12,5,ARP.Control.CS6000035558_panTro4_chr12_Group_5
ARP.Control.CS6000035558_panTro4_chr12#free16-1.713874,ARP.Control.CS6000035558_panTro4_chr12,4,ARP.Control.CS6000035558_panTro4_chr12_Group_4
ARP.Control.CS6000035558_panTro4_chr12#free16-1.89267,ARP.Control.CS6000035558_panTro4_chr12,4,ARP.Control.CS6000035558_panTro4_chr12_Group_4
ARP.Control.CS6000035558_panTro4_chr12#free16-1.1558669,ARP.Control.CS6000035558_panTro4_chr12,4,ARP.Control.CS6000035558_panTro4_chr12_Group_4
ARP.Control.CS6000035558_panTro4_chr12#free16-1.307472,ARP.Control.CS6000035558_panTro4_chr12,3,ARP.Control.CS6000035558_panTro4_chr12_Group_3
ARP.Control.CS6000035558_panTro4_chr12#free16-1.776491,ARP.Control.CS6000035558_panTro4_chr12,3,ARP.Control.CS6000035558_panTro4_chr12_Group_3
ARP.Control.CS6000035558_panTro4_chr12#free16-1.849273,ARP.Control.CS6000035558_panTro4_chr12,3,ARP.Control.CS6000035558_panTro4_chr12_Group_3
ARP.Control.CS6000035558_panTro4_chr12#free16-1.680089,ARP.Control.CS6000035558_panTro4_chr12,2,ARP.Control.CS6000035558_panTro4_chr12_Group_2
ARP.Control.CS6000035558_panTro4_chr12#free16-1.846495,ARP.Control.CS6000035558_panTro4_chr12,2,ARP.Control.CS6000035558_panTro4_chr12_Group_2
ARP.Control.CS6000035558_panTro4_chr12#free16-1.75469,ARP.Control.CS6000035558_panTro4_chr12,2,ARP.Control.CS6000035558_panTro4_chr12_Group_2
ARP.Control.CS6000035558_panTro4_chr12#free16-1.711416,ARP.Control.CS6000035558_panTro4_chr12,1,ARP.Control.CS6000035558_panTro4_chr12_Group_1
ARP.Control.CS6000035558_panTro4_chr12#free16-1.77836,ARP.Control.CS6000035558_panTro4_chr12,1,ARP.Control.CS6000035558_panTro4_chr12_Group_1
ARP.Control.CS6000035558_panTro4_chr12#free16-1.1360115,ARP.Control.CS6000035558_panTro4_chr12,1,ARP.Control.CS6000035558_panTro4_chr12_Group_1
ARP.Control.CS6000035558_panTro4_chr12#free16-1.1313751,ARP.Control.CS6000035558_panTro4_chr12,1,ARP.Control.CS6000035558_panTro4_chr12_Group_1
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.20413,ARP.Control.CS6000065474_rheMac8_chr20,10,ARP.Control.CS6000065474_rheMac8_chr20_Group_10
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1132578,ARP.Control.CS6000065474_rheMac8_chr20,10,ARP.Control.CS6000065474_rheMac8_chr20_Group_10
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.141736,ARP.Control.CS6000065474_rheMac8_chr20,10,ARP.Control.CS6000065474_rheMac8_chr20_Group_10
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.744625,ARP.Control.CS6000065474_rheMac8_chr20,10,ARP.Control.CS6000065474_rheMac8_chr20_Group_10
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.470588,ARP.Control.CS6000065474_rheMac8_chr20,9,ARP.Control.CS6000065474_rheMac8_chr20_Group_9
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.332386,ARP.Control.CS6000065474_rheMac8_chr20,9,ARP.Control.CS6000065474_rheMac8_chr20_Group_9
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1125338,ARP.Control.CS6000065474_rheMac8_chr20,9,ARP.Control.CS6000065474_rheMac8_chr20_Group_9
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.30187,ARP.Control.CS6000065474_rheMac8_chr20,8,ARP.Control.CS6000065474_rheMac8_chr20_Group_8
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1031180,ARP.Control.CS6000065474_rheMac8_chr20,8,ARP.Control.CS6000065474_rheMac8_chr20_Group_8
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1234863,ARP.Control.CS6000065474_rheMac8_chr20,8,ARP.Control.CS6000065474_rheMac8_chr20_Group_8
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1069827,ARP.Control.CS6000065474_rheMac8_chr20,7,ARP.Control.CS6000065474_rheMac8_chr20_Group_7
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1024560,ARP.Control.CS6000065474_rheMac8_chr20,7,ARP.Control.CS6000065474_rheMac8_chr20_Group_7
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1217795,ARP.Control.CS6000065474_rheMac8_chr20,7,ARP.Control.CS6000065474_rheMac8_chr20_Group_7
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1398497,ARP.Control.CS6000065474_rheMac8_chr20,6,ARP.Control.CS6000065474_rheMac8_chr20_Group_6
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.1264734,ARP.Control.CS6000065474_rheMac8_chr20,6,ARP.Control.CS6000065474_rheMac8_chr20_Group_6
ARP.Control.CS6000065474_rheMac8_chr20#free16-1.972516,ARP.Control.CS6000065474_rheMac8_chr20,6,ARP.Control.CS6000065474_rheMac8_chr20_Group_6
