enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,28805,37006,20564,26039,24758,25774,26384,28772,32366,23882,30340,43412,23244,28967,27737,27541,27865,32830,34664,25715,33853,45371,23819,30781,29595,29238,29638,35526,38951,26329,30853,39570,22254,27640,26822,27781,26470,31455,34282,24801
ARP.Control.CS6000035558_panTro4_chr12,15031,18485,10724,12929,10621,12828,11698,10452,12341,11870,15289,20968,13036,13942,12049,14169,13253,11722,13784,12932,14907,19855,11851,13132,11117,13505,12365,11005,13304,12810,13322,17763,10560,12011,10023,12348,11124,9957,11766,11650
ARP.Control.CS6000065474_rheMac8_chr20,12630,16054,9211,10670,9981,12711,11808,12391,12688,10412,14310,19125,11264,12436,11193,15039,13633,14280,14170,11941,13326,17937,10118,11793,10437,13955,13076,13855,13362,10855,12814,16080,9177,11028,9459,12540,11696,12395,12147,10364
ARP.Control.CS6000076312_mm10_chr18,14506,15821,12332,12561,12970,11977,12535,13660,12557,13626,16425,18107,12897,15222,13770,16936,13828,14247,14211,14607,16097,17956,14191,15186,14452,14481,13883,15014,14361,15234,15616,15859,12303,13319,12845,12207,12253,13516,12951,13434
ARP.Control.CS6000151238_taeGut2_chr19,19956,21608,17718,15083,15307,14530,15520,18786,18885,12801,20725,23460,20958,15478,16003,15917,16436,19492,19740,13550,21487,25048,19270,16707,16480,16281,17575,20653,20293,14741,18801,21306,17049,14430,15042,14563,15348,18573,18264,13281
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,5368,12496,7664,6206,6008,9302,9497,8135,5688,6648,5631,14225,7645,6591,6400,9244,11321,9568,6902,7404,6419,14579,7537,6737,6863,9580,11174,9537,6533,7492,5591,13557,7682,6141,6125,8393,9865,8398,5944,6725
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,14406,19377,10013,11861,9726,13929,12411,14558,11063,12917,17559,21347,11087,12201,10880,14597,13032,15846,12275,15116,17689,24043,12483,14123,12540,18688,18792,18294,13589,15769,15824,21375,11010,13026,10314,14200,13570,15629,12412,14280
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,17172,29133,13965,19621,19261,14179,17544,15113,16855,18346,17416,29834,14747,19111,14619,14535,18676,16414,17618,18979,20402,35213,16433,21364,16225,16054,21215,18616,19803,22357,18820,31448,14696,19498,15440,14589,19432,16614,18193,19729
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,6853,10936,4919,4726,6973,6308,6716,5912,9882,7246,7506,11328,5322,5430,7534,6888,7462,6346,10616,7545,8593,13415,6200,6123,9021,8459,8505,6858,12095,8837,7245,11709,5312,5231,7756,7039,8009,6098,10300,7686
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,3069,8535,2874,2449,2966,3841,1806,5153,5031,4931,3491,8857,2952,2517,3362,3789,2268,5420,5582,5663,3841,9868,3263,2934,3593,3923,2309,6670,6062,6058,3530,8488,3103,2555,3147,3660,1898,5675,6156,5405
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,33889,43939,30521,30374,26346,25131,27705,32010,32676,27504,36359,46562,34353,32776,29288,27321,29978,34007,35390,29486,41537,52392,37643,37380,33719,29978,34025,39781,39919,33533,36989,45972,33845,33050,28848,26866,30038,34016,35784,29544
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150,14678,16649,10348,9160,10880,11350,9377,15128,14892,14034,16730,17436,10922,10077,11165,12733,9996,14996,15841,20674,17283,19331,12186,11126,12591,14142,10689,15871,17424,16592,15529,17130,10764,9845,10775,13419,9749,14314,15969,15208
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480,13826,15580,9144,8129,11253,10662,10505,10760,11902,11908,14686,17700,10490,8254,12056,12129,12666,11260,13142,12519,15791,17872,10112,8560,12305,11856,12129,11465,13646,12703,13881,15618,9167,7498,11249,11638,11242,10329,11999,11506
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655,40279,34312,26417,31581,32500,30696,34971,31843,32125,33100,41613,36001,32689,33423,35001,32234,36518,32300,34405,33508,48623,42392,33741,42778,39810,36914,43371,38433,40657,39957,44518,38633,31225,34615,36243,34046,39634,35399,36782,35157
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940,18618,20192,12931,11487,16764,17336,15003,17544,21548,15586,19911,21735,14408,12609,18103,18894,15747,19118,23407,16966,19749,23557,14546,12841,18134,19271,17225,20371,23435,17516,17804,20627,12688,13223,16818,17933,15085,17823,20860,15699
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915,22796,26510,17344,18876,23289,21180,25052,19592,20070,23326,23244,27540,18555,20544,31204,22077,25195,21399,21235,24754,26650,31208,20419,22641,28230,25313,28864,24042,24392,27493,23681,27594,18288,21047,25836,22147,25718,21258,22084,25042
ARP.Control.Nguyen_neg_T03000001061,16788,20502,14887,11734,13043,18388,15663,19746,15213,14233,17850,22617,15799,12537,14127,19930,17754,21175,15852,15396,22828,27953,20179,16530,18106,24672,21208,27326,20415,20057,19677,24491,17754,13495,15431,22363,18143,23530,17370,17312
ARP.Control.Nguyen_neg_T03000001872,13006,23860,8783,10574,14548,16019,12224,12597,10633,14184,13703,26786,9435,10928,15952,17919,13008,13648,11422,14885,15578,29475,11074,12925,17874,19004,15011,14974,12753,16633,13469,25090,9380,11042,15396,17250,13221,13675,11159,14840
