enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_6,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_7,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_8,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_9,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_10,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_11,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_12,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_13,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_14,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_15,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_16,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_17,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_18,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_19,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_20,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_21,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_22,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_23,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_24,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_25,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_26,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_27,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_28,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_29,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_30,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_31,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_32,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_11,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_12,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_13,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_14,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_15,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_16,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_17,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_18,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_19,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_20,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_21,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_22,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_23,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_24,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_25,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_26,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_27,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_28,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_29,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_30,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_31,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_32,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_6,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_7,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_8,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_9,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_10,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_11,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_12,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_13,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_14,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_15,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_16,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_17,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_18,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_19,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_20,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_21,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_22,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_23,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_24,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_25,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_26,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_27,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_28,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_29,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_30,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_31,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_32,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_6,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_7,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_8,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_9,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_10,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_11,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_12,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_13,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_14,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_15,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_16,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_17,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_18,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_19,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_20,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_21,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_22,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_23,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_24,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_25,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_26,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_27,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_28,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_29,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_30,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_31,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_32
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,5484,36615,10166,5106,4550,6,9035,8976,0,17305,13108,6772,2591,18921,9944,3796,6,6,1815,19246,16008,23847,5033,4946,5237,5413,3067,10215,9194,15093,11917,9260,4615,5695,1873,2005,1954,12963,5534,15423,0,7818,3444,3890,3577,4763,234,7080,6220,7137,12512,7,11898,5607,12077,14321,11246,2401,3397,9938,5366,3465,1038,4180,1682,1912,2740,6084,4064,1854,2702,3059,0,8193,3315,19896,13400,3913,903,1946,1184,892,2,2,15392,3111,3,4869,2059,3250,3913,2201,1,4273,0,3901,3990,1881,2,9996,7759,4965,8949,3923,1892,5303,1439,1685,25,6253,2944,2946,1853,1830,2062,6,2887,2073,7559,7130,7,2854,7107,1936,2567,9883,2123,10
ARP.Control.CS6000035558_panTro4_chr12,13835,4325,5935,20908,79377,29712,3526,3643,4116,3588,6,7293,2,8,4047,5429,7172,12192,10611,8454,11330,3741,7153,3962,7419,5992,1615,8,7552,4997,7918,9796,5664,3831,3,1631,3876,3796,4329,4043,3,50,3708,6,5337,14506,8,10360,7522,3501,4171,4034,4904,2196,1733,3330,1,4309,9098,14940,1,2,5627,3,4,1838,1923,1936,1475,3078,5306,3,1131,40447,1899,1137,2,1,4318,1070,1053,3541,10148,0,4,991,2,5410,3,973,2,1801,0,0,3,2,3930,3222,0,2996,1923,2016,3,1334,825,3,3479,3,1964,6900,2,6,2319,1,2025,6935,7424,3,1886,2026,4929,2,12262,8366,3,3892,3887,4303
ARP.Control.CS6000065474_rheMac8_chr20,2086,1861,15546,15,5509,1,2,3227,6401,1437,10585,1627,3327,7944,1,1,12097,1570,3713,5810,5560,6312,5117,2514,3661,2831,1999,1312,3133,12,2,2384,3868,4191,3921,5253,0,4229,3729,0,8040,4064,6,0,14462,1,0,3386,17002,3806,8008,1,16348,1831,2372,3240,9670,4013,3,8423,1918,4097,1976,0,1819,1714,2,6825,1,0,971,2,2,2,1742,0,1147,0,990,0,3160,2138,1930,2004,2,2012,7848,2559,1828,902,3663,1,1073,5927,1875,1,1777,7176,7136,482,804,979,852,2,4297,2,2842,1528,1,1,2873,3547,4,2778,1797,1922,3073,1683,1324,5,3,1,2004,1,3,1923,1266,871
ARP.Control.CS6000076312_mm10_chr18,33,3738,1725,8047,0,10593,5,3640,1906,2,7836,0,8636,94,4235,1,3765,7479,6707,3415,5061,1,7075,8613,0,6048,2,6,6244,6533,4025,11100,59,2025,2,5311,0,5344,3,2016,6156,2141,3294,4,8,3744,7034,0,2062,3767,9,9776,14,2,3,3260,0,6967,7505,6,6008,3738,2066,32927,20659,1101,1059,937,0,2,2852,1,3721,0,1133,0,2555,0,3191,0,0,5523,5106,2,7564,2026,1,3411,0,1,0,4180,4,1,9544,15,966,2724,1046,579,0,1044,7,4080,4,942,3789,2,1090,3,595,3868,4391,4789,3451,5,3856,0,9212,2,2,2,4,3382,868,3935,4,1
ARP.Control.CS6000151238_taeGut2_chr19,3575,8830,10803,8,14310,2,3510,6557,0,5,10503,8,2735,3809,1,71,3542,18021,5680,5168,11,1559,6771,6438,5488,8,6,3867,8560,1985,6611,3745,5778,535,1963,4,9792,7,5140,19857,3264,3674,3905,8910,7496,4254,0,15695,3807,11,3,17589,31567,3,24127,3778,4194,3345,5052,5726,2684,2,5736,12447,0,2365,7290,3148,6638,2137,3364,24552,0,2057,1699,2053,1,1960,0,3957,6150,5616,2,4,5,960,1994,2948,7632,6787,815,1834,3,1354,2,5658,3,4587,2826,4,983,1480,6279,3,743,1785,998,1146,2923,3,1016,8236,1890,4947,9,996,1056,1,4,3222,2190,61910,6569,6790,3051,4931,3202,27919
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,7572,5,1076,0,0,9716,0,3,3517,0,3,0,0,4,7353,0,1476,0,0,0,1,3134,2,1,3580,0,3,0,0,1,2973,0,4,3451,1,0,0,2020,0,5,28829,0,2068,0,0,4,1,0,1,0,0,0,3434,22,0,3637,3,1,2,0,0,3883,2,0,1294,1,1375,0,0,1,0,1800,3,0,0,0,0,1885,2095,0,2,1135,0,0,0,9081,1022,1,1948,0,1915,0,0,0,0,0,2,2,523,1,1,3405,1484,1159,3,3,6671,3,1,3937,1,0,0,1,999,2,3,3,1,1,0,2015,5,2,0,993,10,2
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,3675,2115,45,3133,0,3950,18773,0,4271,7703,7591,3705,19368,4029,4,4057,1675,13348,0,2476,7608,2,0,0,3896,3734,1,0,5,4251,34977,6,4,7,4,4580,3302,0,10,0,46,4303,4634,4266,6520,8,9960,4394,15291,10098,0,3,3516,3,0,2,1,2220,1956,0,0,3302,11,5,1211,4054,2170,0,0,0,3,0,34373,1,1062,704,4475,2081,1,5,2,3,0,0,2,2104,0,1157,1,1222,3019,0,978,1881,3,4727,3674,1833,1,2,3,3,1113,2500,1134,3,1,6,6615,1504,4686,4,3,13983,4,1776,791,1332,4,3125,3,2,1047,3,0,1100,2149,1
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,3841,12091,3171,8478,3260,3988,14723,8505,15793,6029,4558,8203,9811,5269,5062,14813,3853,7586,11924,12083,1875,3686,12441,5689,13248,0,5381,6946,35787,7391,6531,1978,3877,7448,0,7466,2270,6463,13001,5986,5653,7716,6160,2060,4090,1664,1176,4074,1766,11461,7,3687,4262,6,1082,11816,14149,1,13928,8146,5670,22962,13596,1,4399,3,0,2708,965,2148,9773,1012,2,5266,4016,3087,6981,6877,0,6309,8252,2,4237,7180,1839,2100,4085,4856,1895,0,2063,5252,1165,1004,3629,0,1778,988,0,3013,1861,5047,1705,2012,10,24717,11044,7171,3679,2946,8749,2748,1753,747,4304,4478,2813,1,19108,3,10891,1010,2045,8072,7248,18026,7,2
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,2432,2,1,2,5418,0,11074,0,11352,3937,4006,0,1923,6049,10,4765,2,9993,6138,2138,1959,1817,4074,5,8935,6909,13900,7061,3,0,9485,2,7835,9612,2,7399,5,0,2254,0,4,2261,4,0,6699,5174,7,3425,2,5143,6081,1,6140,1,2223,5982,9392,1,5,1061,0,2268,1982,5813,2,4,3353,316,3101,0,4,0,3,587,0,0,1,2335,4438,0,915,1,2,0,1007,1440,2,1026,3,1971,1,1010,1776,2,3737,958,989,2503,0,3,1996,3,1978,1091,2994,3011,2,0,2877,1,0,1127,692,1,1736,2,8423,0,2,0,0,5811,1915,2,4266,2063,2,1
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,22,2017,2,0,13,4,9,0,0,5808,0,0,1,10906,0,6886,3677,3704,6457,0,3,0,1740,2,7299,10999,3755,3515,5,3,2114,1848,1848,1,7618,0,6679,6234,14379,0,0,2,0,0,9263,3,0,2,2,2,7028,0,1,0,0,4,21,5,3750,0,8,5691,3802,5335,17389,0,1,0,7127,1,3889,0,0,1,0,0,1,0,0,0,0,2088,1661,0,1806,0,0,1113,10921,5,8027,1,1776,0,2100,2,465,2524,1050,2806,2210,2003,3,2042,1032,5713,0,2,0,2,1471,0,868,1029,2373,1,1,0,3055,0,1961,0,2,0,0,313,1847,2594
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,9919,5194,3638,6725,11567,18912,18229,58442,4983,16691,9,3491,2,22376,2175,12192,8999,2076,259,7552,4,3602,1864,8221,7116,7125,42065,35316,6062,7945,14621,4670,2032,4447,3499,9303,2948,7664,22186,47,10035,21299,4,8634,1,4136,9750,6584,1958,8031,10434,4317,1,1,6937,1724,3625,17460,8991,11,16090,4582,9555,6890,773,4020,3142,8170,6388,2,19410,14096,4164,7,3859,2052,914,6214,2868,1,3951,946,1,4,2017,1560,3112,4071,3003,6353,4385,1216,1147,8959,1841,1,5938,13694,1118,1187,7,3978,3889,6755,3,4125,4899,2318,837,2996,8424,2020,5790,20,1003,1136,3053,1947,5172,4049,5446,2781,2607,16880,6388,6,7,978
