enhancer_id,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_1,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_2,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_3,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_4,Rep1_iPSCNeuron_ZC130_R_ALT_Barcode_5,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_1,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_2,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_3,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_4,Rep3_iPSCNeuron_ZC132_R_ALT_Barcode_5,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_1,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_2,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_3,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_4,Rep4_iPSCNeuron_ZC133_R_ALT_Barcode_5
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1,37452,32616,44738,43311,134561,18903,37150,33191,59298,43136,8969,11445,24694,18918,56690,13498,18682,14201,39493,29965
ARP.Control.CS6000035558_panTro4_chr12,32686,29210,34956,43276,155534,7554,13796,27480,44325,33368,9502,2880,13629,4601,58889,2800,15522,13447,32347,24753
ARP.Control.CS6000065474_rheMac8_chr20,8679,13475,21236,22446,51761,10269,13049,19339,25048,70153,2870,6610,8521,20048,14091,7521,7211,6484,14109,17632
ARP.Control.CS6000076312_mm10_chr18,1733,7481,30014,38160,49177,2152,15296,30977,21418,45408,5937,5282,6283,22190,34897,1999,14061,6360,8566,23657
ARP.Control.CS6000151238_taeGut2_chr19,7255,12118,44484,28907,49423,6955,31492,20445,50307,101146,8304,6183,13167,24081,51250,5038,15575,16950,27317,96822
ARP.Control.Kheradpour_hepg2andk562_pos_PK_construct_1886,0,2,2558,6561,31299,0,0,10,14410,32948,0,2157,5092,1950,14359,7,1009,5186,1009,14022
ARP.Control.Nguyen_cortical_T03000000002_mm_chr1_13178725,50,10330,17069,34533,92416,3306,14,13165,20025,41936,3148,7989,10381,4861,38860,2515,6240,4392,5575,29683
ARP.Control.Nguyen_cortical_T03000000137_mm_chr2_167460085,17811,34263,62178,53177,96565,10417,28516,34450,45535,72726,9303,18291,14893,30178,28440,7465,21254,15489,24001,89767
ARP.Control.Nguyen_cortical_T03000000926_mm_chr15_97998220,3958,8095,21188,27896,62255,6,10315,20133,35405,24917,5708,7176,6040,2347,6724,1788,6334,6139,11100,18130
ARP.Control.Nguyen_cortical_T03000002332_hs_chr5_33373320,2,5540,16014,25870,23363,4,10,11931,26026,33707,1113,3583,2089,2109,49015,2506,7373,7268,5493,12727
ARP.Control.Nguyen_cortical_T03000003606_mm_chr2_181336040,9590,35717,52802,53689,200244,21971,30534,29732,56809,74130,12439,10013,26466,18048,51681,12877,19591,13272,33678,40033
ARP.Control.Nguyen_cortical_T03000004012_hs_chr13_51676150,1827,16493,27565,44951,111989,13031,14484,31824,15862,57994,5358,4556,10,8144,19985,3510,10607,4389,20146,8094
ARP.Control.Nguyen_cortical_T03000005948_mm_chr4_48300480,3601,12687,22674,30605,42720,10309,195,12158,15264,72120,10371,9309,5643,14362,10417,1877,18254,14788,13824,47061
ARP.Control.Nguyen_cortical_T03000006407_mm_chr11_98448655,32481,42711,67102,108438,100966,33564,33943,63331,46351,119238,31528,31326,24540,29711,40149,24277,38989,24305,39150,70711
ARP.Control.Nguyen_cortical_T03000008755_mm_chr12_120702940,24518,47229,85374,88874,193225,40610,57348,50675,84540,134002,20734,22715,44839,43088,36472,22397,23133,30295,30738,73774
ARP.Control.Nguyen_cortical_T03000010543_hs_chr18_42421915,38052,44660,47506,67305,173061,28999,49101,48558,81465,100892,14523,12868,25630,22875,38259,15670,19583,35291,27956,48985
ARP.Control.Nguyen_neg_T03000001061,6075,7338,25579,23194,74357,4,3639,2448,20035,29256,2158,9709,6528,12030,12460,1844,6846,2736,4307,10850
ARP.Control.Nguyen_neg_T03000001872,2032,8501,16303,24510,143689,3,7089,7837,21869,62093,1263,1470,2715,9233,21257,2817,4189,5730,1931,12677
ARP.Control.Nguyen_neg_T03000002350,3609,4555,15032,24552,47552,1949,9280,10297,13808,42633,1,8727,6930,11603,11100,2078,3747,4787,10790,24367
ARP.Control.Nguyen_neg_T03000006478,14071,45098,28861,54736,67572,22692,17955,31740,38300,90895,17568,19587,31175,24101,41478,15480,10137,30675,24830,41734
ARP.Control.Nguyen_neg_T03000008079,2,1829,13400,9814,4105,0,2237,6,3646,56668,1380,1990,2654,3081,7998,1115,5871,4108,9496,4806
ARP.Control.Nguyen_neg_T03000009050,10813,21086,48304,38593,58774,11597,17623,20602,39656,55324,6075,11916,9196,11875,110195,19073,19163,13554,16339,12129
ARP.Control.Nguyen_neg_T03000009840,0,0,0,2,14922,0,0,0,0,11,0,0,0,951,3294,0,0,1,3011,3084
ARP.Control.Nguyen_neg_T03000009843,1374,12638,8943,12363,64922,4007,10766,23099,21560,104407,3264,5141,2994,11530,15901,3862,2846,8182,17973,16059
