Pseudo-barcode,Rep1_iPSCNeuron_ZC130_R,Rep2_iPSCNeuron_ZC131_R,Rep3_iPSCNeuron_ZC132_R,Rep4_iPSCNeuron_ZC133_R,enhancer_id
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_1,28805.0,30340.0,33853.0,30853.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_10,37006.0,43412.0,45371.0,39570.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_2,20564.0,23244.0,23819.0,22254.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_3,26039.0,28967.0,30781.0,27640.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_4,24758.0,27737.0,29595.0,26822.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_5,25774.0,27541.0,29238.0,27781.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_6,26384.0,27865.0,29638.0,26470.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_7,28772.0,32830.0,35526.0,31455.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_8,32366.0,34664.0,38951.0,34282.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000023125_Raegyp2_NW_015494788.1_Group_9,23882.0,25715.0,26329.0,24801.0,ARP.Control.CS6000023125_Raegyp2_NW_015494788.1
ARP.Control.CS6000035558_panTro4_chr12_Group_1,15031.0,15289.0,14907.0,13322.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_10,18485.0,20968.0,19855.0,17763.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_2,10724.0,13036.0,11851.0,10560.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_3,12929.0,13942.0,13132.0,12011.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_4,10621.0,12049.0,11117.0,10023.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_5,12828.0,14169.0,13505.0,12348.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_6,11698.0,13253.0,12365.0,11124.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_7,10452.0,11722.0,11005.0,9957.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_8,12341.0,13784.0,13304.0,11766.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000035558_panTro4_chr12_Group_9,11870.0,12932.0,12810.0,11650.0,ARP.Control.CS6000035558_panTro4_chr12
ARP.Control.CS6000065474_rheMac8_chr20_Group_1,12630.0,14310.0,13326.0,12814.0,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_10,16054.0,19125.0,17937.0,16080.0,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_2,9211.0,11264.0,10118.0,9177.0,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_3,10670.0,12436.0,11793.0,11028.0,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_4,9981.0,11193.0,10437.0,9459.0,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_5,12711.0,15039.0,13955.0,12540.0,ARP.Control.CS6000065474_rheMac8_chr20
ARP.Control.CS6000065474_rheMac8_chr20_Group_6,11808.0,13633.0,13076.0,11696.0,ARP.Control.CS6000065474_rheMac8_chr20
