,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,1,1_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,2,2_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,3,3_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,4,4_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,5,5_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,1,1_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,2,2_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,3,3_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,4,4_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,5,5_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT
ZC118-MPRA3-AP1120-26-SI_ALT_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5_ALT,ALT,ZC118-MPRA3-AP1120-26-SI_ALT,AP1120_ALT,Small_Intestine_ALT
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF
ZC118-MPRA3-AP1120-26-SI_REF_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5_REF,REF,ZC118-MPRA3-AP1120-26-SI_REF,AP1120_REF,Small_Intestine_REF
ZC120-MPRA3-AP1133-26-SI_ALT_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,1,1_ALT,ALT,ZC120-MPRA3-AP1133-26-SI_ALT,AP1133_ALT,Small_Intestine_ALT
ZC120-MPRA3-AP1133-26-SI_ALT_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,2,2_ALT,ALT,ZC120-MPRA3-AP1133-26-SI_ALT,AP1133_ALT,Small_Intestine_ALT
ZC120-MPRA3-AP1133-26-SI_ALT_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1133,M,ZC120-MPRA3-AP1133-26-SI,Gut,Gut,1,0,3,3_ALT,ALT,ZC120-MPRA3-AP1133-26-SI_ALT,AP1133_ALT,Small_Intestine_ALT
