,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Allele,SI_interaction,LI_interaction
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,1,1_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT,1,1,0
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,2,2_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT,1,1,0
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,3,3_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT,1,1,0
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,4,4_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT,1,1,0
ZC116-MPRA3-AP1121-26-SI_ALT_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,5,5_ALT,ALT,ZC116-MPRA3-AP1121-26-SI_ALT,AP1121_ALT,Small_Intestine_ALT,1,1,0
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,1,1_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF,0,0,0
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,2,2_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF,0,0,0
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,3,3_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF,0,0,0
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,4,4_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF,0,0,0
ZC116-MPRA3-AP1121-26-SI_REF_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1121,F,ZC116-MPRA3-AP1121-26-SI,Gut,Gut,1,0,5,5_REF,REF,ZC116-MPRA3-AP1121-26-SI_REF,AP1121_REF,Small_Intestine_REF,0,0,0
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,1,1_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT,1,0,1
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,2,2_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT,1,0,1
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,3,3_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT,1,0,1
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,4,4_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT,1,0,1
ZC117-MPRA3-AP1121-26-LI_ALT_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,5,5_ALT,ALT,ZC117-MPRA3-AP1121-26-LI_ALT,AP1121_ALT,Large_Intestine_ALT,1,0,1
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,1,1_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF,0,0,0
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,2,2_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF,0,0,0
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,3,3_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF,0,0,0
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,4,4_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF,0,0,0
ZC117-MPRA3-AP1121-26-LI_REF_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,5,5_REF,REF,ZC117-MPRA3-AP1121-26-LI_REF,AP1121_REF,Large_Intestine_REF,0,0,0
